StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       01,      00,   195001,   4.92,   58.9,  -1.47,  -1.47,  -1.24,  -1.47,     78,    308,    .05,   -.36,  -1.16,   -.91,   -.26,     .1,   1.44,   49.4,   68.4,
       01,      00,   195002,   4.29,   53.2,   -1.7,   -1.7,  -1.16,   -1.7,     16,    382,   -.36,   -.31,    -.6,  -1.18,   -.47,   -.21,   1.32,   40.7,   65.8,
       01,      00,   195003,   6.72,   52.2,  -1.34,  -1.34,    .56,   -.99,     10,    437,    .39,    .02,   -.05,   -.79,   -.51,   -.16,    .98,   40.2,   64.3,
       01,      00,   195004,   3.48,   59.2,  -1.46,  -1.46,   -.78,  -1.42,     15,    209,   -.47,   -.07,   -.29,   -.99,   -.92,   -.41,    .93,   46.3,   72.1,
       01,      00,   195005,   4.17,   73.7,  -1.48,  -1.48,   -.52,  -1.48,    259,      9,    .09,   -.34,   -.05,   -.46,   -.88,   -.44,   1.02,   62.3,     85,
       01,      00,   195006,   3.35,   77.6,  -1.59,  -1.59,   -.77,  -1.59,    353,      0,   -.43,    -.3,   -.55,   -.43,   -.94,   -.74,    .95,   66.1,     89,
       01,      00,   195007,   9.12,   77.5,   1.24,   1.24,   3.71,   1.24,    378,      0,   1.76,      1,    .82,    .23,   -.44,   -.44,   1.19,     67,     88,
       01,      00,   195008,   5.59,   77.1,    1.9,    1.9,   2.38,    1.9,    353,      0,    .79,   1.83,   1.16,    .62,    .15,    -.3,   1.34,   65.2,   88.9,
       01,      00,   195009,   3.83,   72.1,   2.04,   2.04,      1,   2.04,    210,     13,    .18,    .57,   1.53,    .54,    .34,   -.23,   1.21,     62,   82.2,
       01,      00,   195010,   1.78,   66.1,   -.12,   1.71,   -.35,   1.48,    104,     86,   -.49,   -.28,    .07,    .62,     .2,   -.38,   1.22,   53.7,   78.5,
       01,      00,   195011,   1.78,   48.6,   -.54,    1.1,   -1.3,    .22,      1,    523,  -1.17,  -1.15,   -.75,     .2,    .08,   -.24,    .02,   34.4,   62.8,
       01,      00,   195012,   4.01,   41.2,   -.65,    .82,    -.5,   -.29,      1,    767,   -.45,  -1.15,  -1.31,    .17,   -.25,   -.22,    .08,   30.8,   51.7,
       01,      00,   195101,   3.96,   46.8,   -.95,   -.95,  -1.12,   -.95,     13,    608,   -.48,   -.72,  -1.18,   -.86,   -.22,   -.32,   -.25,   34.8,   58.9,
       01,      00,   195102,   3.39,   49.3,  -1.41,  -1.41,  -1.67,  -1.41,      5,    472,   -.89,   -1.1,  -1.18,  -1.62,   -.57,   -.51,   -.58,   36.8,   61.8,
       01,      00,   195103,   9.26,   56.1,    .75,    .75,   2.25,    .75,     24,    333,   1.23,     .5,    .13,   -.72,    .18,   -.14,   -.27,   44.9,   67.2,
       01,      00,   195104,   5.02,   61.1,    .76,    .76,    .26,    .76,     27,    168,    .24,    .99,    .45,   -.41,   -.39,    .06,    -.3,   48.4,   73.9,
       01,      00,   195105,   1.48,   70.2,   -.87,   -.87,   -2.6,   -.87,    169,     30,  -1.64,   -.78,    .28,   -.54,   -.92,   -.33,   -.58,   55.8,   84.5,
       01,      00,   195106,   4.68,   78.4,    -.8,    -.8,   -.06,    -.8,    387,      0,    .35,   -.83,    -.5,   -.28,   -.87,   -.18,   -.67,   66.5,   90.4,
       01,      00,   195107,   4.15,   80.8,  -1.34,  -1.34,  -1.87,  -1.34,    476,      0,   -.63,    -.2,  -1.12,   -.31,   -.89,   -.81,   -.88,   69.1,   92.5,
       01,      00,   195108,   2.24,   82.4,   -2.3,   -2.3,  -3.29,   -2.3,    521,      0,  -1.59,  -1.49,  -1.01,   -.41,   -.95,  -1.24,  -1.06,   69.3,   95.4,
       01,      00,   195109,   5.81,   75.6,  -1.65,  -1.65,   1.22,  -1.05,    302,      3,   1.09,    .01,    -.4,   -.72,   -.47,   -.98,   -.83,   64.3,     87,
       01,      00,   195110,   1.72,   65.9,  -1.91,  -1.91,  -1.27,  -1.79,     99,     97,   -.53,    .41,   -.39,  -1.09,   -.49,  -1.02,   -.94,     53,   78.8,
       01,      00,   195111,   3.68,   48.7,  -1.74,  -1.74,   -.09,   -1.6,      1,    517,    .15,   -.32,    .32,   -.48,    -.2,   -.74,    -.7,     36,   61.3,
       01,      00,   195112,   7.53,   49.9,  -1.02,  -1.02,   1.62,   -.09,      7,    507,    1.1,     .8,    .38,   -.04,   -.38,   -.24,   -.36,   38.1,   61.7,
       01,      00,   195201,   3.96,   52.4,  -1.42,  -1.42,  -1.52,  -1.12,     33,    455,   -.48,    .49,    .35,   -.02,   -.64,    -.2,   -.48,   41.8,     63,
       01,      00,   195202,    4.3,   51.1,  -1.61,  -1.61,  -1.02,  -1.61,     10,    428,   -.36,   -.69,    .15,     .3,   -.33,   -.13,   -.53,   40.3,   61.8,
       01,      00,   195203,   6.59,   53.3,  -1.33,  -1.33,    .36,  -1.07,     14,    403,    .34,   -.02,   -.33,   -.02,   -.27,   -.49,    -.5,   40.8,   65.9,
       01,      00,   195204,   2.95,     61,  -1.66,  -1.66,   -1.4,  -1.66,     26,    161,   -.77,   -.27,   -.45,   -.13,   -.36,   -.81,   -.56,   47.6,   74.5,
       01,      00,   195205,    5.3,   71.5,  -1.15,  -1.15,      1,   -.58,    204,     17,    .66,   -.12,    .07,    .06,    .14,   -.28,   -.47,   58.6,   84.3,
       01,      00,   195206,   2.07,     82,  -1.95,  -1.95,  -2.74,  -1.95,    502,      0,  -1.64,   -.35,   -.75,   -.74,   -.48,   -.64,   -.61,     69,     95,
       01,      00,   195207,   2.23,   82.3,  -3.16,  -3.16,  -4.23,  -3.16,    527,      0,  -3.09,  -3.09,  -1.41,  -1.13,   -.77,   -.88,  -1.16,   68.8,   95.8,
       01,      00,   195208,   6.28,   79.7,  -2.46,  -2.46,   1.12,  -1.95,    449,      0,   1.16,    -.5,  -1.21,   -.69,   -.51,   -.35,  -1.09,   68.3,   91.1,
       01,      00,   195209,   3.21,   72.1,  -2.44,  -2.44,    -.7,  -2.16,    206,     14,   -.16,     .6,   -.57,  -1.01,   -.94,   -.69,  -1.11,   60.2,     84,
       01,      00,   195210,   1.21,   57.6,  -2.62,  -2.62,  -1.28,  -2.62,     17,    273,   -.93,   -.77,   -.09,  -1.04,  -1.06,   -.77,  -1.17,   42.7,   72.6,
       01,      00,   195211,   2.67,   51.9,  -2.78,  -2.78,  -1.31,  -2.78,      3,    419,   -.43,   -.99,   -.85,  -1.58,  -1.13,    -.9,  -1.09,   38.1,   65.6,
       01,      00,   195212,   5.93,   45.3,  -2.41,  -2.41,    .27,  -2.23,      2,    633,    .48,      0,   -.51,   -.84,  -1.14,  -1.12,  -1.03,   34.6,   56.1,
       01,      00,   195301,   5.47,     49,  -2.12,  -2.12,    .12,  -1.83,     19,    536,    .33,    .46,    .07,   -.05,    -.8,   -.89,   -.87,   37.3,   60.6,
       01,      00,   195302,   7.48,   48.9,  -1.24,  -1.24,   1.99,   -.08,      5,    477,   1.15,   1.01,    .99,    .09,   -.62,   -.48,   -.51,   37.6,   60.2,
       01,      00,   195303,    3.7,   58.1,  -1.91,  -1.91,  -2.41,  -1.68,     37,    283,   -.92,    .07,    .14,   -.27,   -.57,   -.86,  -1.01,   46.2,     70,
       01,      00,   195304,   7.72,   60.6,   -.88,   -.88,    2.5,    .43,     25,    178,   1.23,    .27,    .72,    .53,     .4,   -.21,   -.75,   47.4,   73.8,
       01,      00,   195305,   4.49,   73.8,   -.86,   -.86,   -.22,    .32,    265,      9,    .26,   1.06,    .32,    .75,    .15,   -.34,   -.48,   62.5,   85.2,
       01,      00,   195306,   3.71,   80.6,   -1.1,   -1.1,   -.97,   -.29,    460,      0,   -.19,   -.05,    .71,    .52,    .12,   -.15,   -.59,   68.3,   92.8,
       01,      00,   195307,   5.94,   79.6,   -.91,   -.91,    .23,   -.02,    444,      0,    .47,    .12,    .15,    .55,    .43,    .33,   -.43,     69,   90.2,
       01,      00,   195308,   2.61,     79,  -1.41,  -1.41,  -1.79,     -1,    425,      0,  -1.25,   -.48,   -.55,   -.16,    .35,   -.13,    -.4,   66.6,   91.5,
       01,      00,   195309,   4.77,   73.7,  -1.03,  -1.03,    .72,    -.3,    250,      7,    .64,   -.29,   -.02,    .48,    .41,    .07,   -.46,     60,   87.3,
