,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,       08,      00,   195001,    .38,   66.6,  -1.58,  -1.58,  -3.67,  -1.58,    183,     90,  -2.03,  -1.44,  -1.34,    .24,    .22,    .16,    .74,   55.8,   77.4,0
1,       08,      00,   195002,   1.06,   62.8,  -2.39,  -2.39,  -2.92,  -2.39,    105,    115,  -1.59,  -2.25,  -1.86,  -1.23,    .15,   -.07,    .75,   50.4,   75.2,0
2,       08,      00,   195003,   3.86,   63.5,  -2.28,  -2.28,   -.42,  -2.28,    119,     88,    .28,   -.65,  -1.34,   -1.2,    .07,    .22,    .44,   51.7,   75.2,0
3,       08,      00,   195004,   2.98,   65.2,  -1.86,  -1.86,    .56,  -1.55,     91,     45,    .06,    .18,   -.55,  -1.11,   -.16,   -.08,    .28,     52,   78.5,0
4,       08,      00,   195005,    3.3,   76.4,  -1.93,  -1.93,   -.78,  -1.89,    358,      0,   -.22,   -.22,   -.09,  -1.13,   -.95,    .04,    .33,   64.6,   88.1,0
5,       08,      00,   195006,   3.91,   81.1,  -2.78,  -2.78,  -3.15,  -2.78,    484,      0,  -1.69,  -1.36,  -1.17,  -1.73,  -1.63,   -.56,    .33,   69.9,   92.2,0
6,       08,      00,   195007,   8.24,   79.8,  -2.37,  -2.37,    .36,  -2.16,    468,      0,    .58,   -.92,   -.91,  -1.07,   -1.5,   -.61,    .02,     70,   89.5,0
7,       08,      00,   195008,   6.56,   80.6,   -2.4,   -2.4,   -.83,   -2.4,    491,      0,   -.34,    .12,   -.93,   -.74,  -1.49,  -1.32,   -.14,   70.4,   90.8,0
8,       08,      00,   195009,   7.35,   78.2,     .3,  -1.85,    .91,  -1.39,    426,      0,    .49,    .15,    .38,   -.56,  -1.22,  -1.26,   -.46,     69,   87.4,1
9,       08,      00,   195010,   6.61,   73.9,   1.33,   -.61,   3.16,   1.25,    332,      3,   1.43,   1.27,    .93,    .06,   -.29,   -.81,   -.21,   64.5,   83.4,1
10,       08,      00,   195011,    .82,   60.3,    .88,   -.85,   -.92,    .54,     72,    132,  -1.29,    .67,    .74,   -.11,   -.17,   -.96,   -.45,   47.9,   72.7,0
11,       08,      00,   195012,   2.76,   54.7,   1.09,   1.09,    .91,   1.09,     35,    266,    .21,   -.63,    .58,    .63,   -.25,   -.92,   -.45,     43,   66.4,0
12,       08,      00,   195101,     .9,   57.4,   -.64,   -.64,  -1.93,   -.64,     64,    227,  -1.47,   -.83,  -1.31,   -.07,   -.67,   -.86,   -.46,     45,   69.8,0
13,       08,      00,   195102,   1.83,     58,  -1.01,  -1.01,  -1.29,  -1.01,     54,    189,   -.89,  -1.54,  -1.11,   -.23,   -.76,   -.69,   -.53,   45.2,   70.9,0
14,       08,      00,   195103,   3.34,   64.2,  -1.04,  -1.04,   -.41,  -1.04,    110,     84,    .01,   -.54,  -1.07,   -.37,   -.15,   -.72,   -.37,   52.6,   75.8,0
15,       08,      00,   195104,   4.31,   67.6,    .56,    .56,   1.67,    .56,    146,     24,    .87,    .47,   -.04,   -.72,   -.11,   -.53,   -.42,   56.3,   78.9,0
16,       08,      00,   195105,   2.46,   74.4,   -.42,   -.42,  -1.25,   -.42,    315,      0,   -.76,   -.02,    -.1,   -.75,   -.25,   -.67,   -.44,   61.9,   86.9,0
17,       08,      00,   195106,   4.81,     80,  -1.08,  -1.08,  -2.13,  -1.08,    455,      0,  -1.11,  -1.33,   -.72,  -1.26,   -.76,   -.53,   -.81,   68.6,   91.4,0
18,       08,      00,   195107,   8.14,   81.2,   -.93,   -.93,    .13,   -.73,    503,      0,    .51,   -.59,   -.92,   -.71,   -1.2,   -.57,   -.89,     71,   91.4,0
19,       08,      00,   195108,   5.91,   82.7,  -1.47,  -1.47,  -1.91,  -1.47,    551,      0,   -.81,   -.21,   -.88,   -.72,  -1.17,   -.69,   -1.5,   72.6,   92.9,0
20,       08,      00,   195109,   7.19,   80.3,    .04,  -1.28,    .12,  -1.13,    482,      0,    .42,   -.14,    .13,   -.46,  -1.01,   -.65,  -1.54,   70.7,   89.9,0
21,       08,      00,   195110,   4.58,   74.1,    .27,   -.92,    .69,   -.32,    326,      2,    .56,     .6,    .15,   -.58,   -.52,  -1.02,  -1.43,   64.3,     84,0
22,       08,      00,   195111,   4.27,   61.5,   1.29,   1.29,   3.15,   1.29,     93,    110,   1.47,   1.24,   1.12,    .21,    .08,   -.46,  -1.06,   50.4,   72.6,0
23,       08,      00,   195112,   2.59,   62.9,   -.02,   1.14,   -.05,   1.03,    134,    110,    .09,    .93,    .99,     .7,    .07,   -.51,  -1.01,   52.2,   73.5,0
24,       08,      00,   195201,   1.15,   61.1,    -.7,    -.7,  -2.07,    -.7,    104,    166,  -1.23,   -.79,    .16,     .1,   -.54,   -.49,   -.93,   49.4,   72.7,0
25,       08,      00,   195202,   5.83,   59.7,    .91,    .91,   2.72,    .91,     69,    162,    1.6,    .42,    .32,    .95,    .27,    .16,   -.35,   48.8,   70.6,0
26,       08,      00,   195203,   3.82,   65.4,   -.04,   -.04,   -.13,    .77,    154,     67,    .26,   1.07,    .38,    .79,    .71,    .26,   -.35,   54.4,   76.3,0
