,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,       16,      00,   195001,   6.03,   61.1,   -.95,   -.95,   -.15,   -.95,    131,    200,     .5,    .27,   -.79,    -.1,   -.14,    .53,    .28,   52.4,   69.8,0
1,       16,      00,   195002,   6.75,   57.4,    .45,    .45,   1.35,    .45,     42,    228,   1.03,    .98,    .73,    .43,    .59,    .76,    .45,   46.8,   68.1,0
2,       16,      00,   195003,    5.4,   56.7,     .6,     .6,    .59,     .6,     24,    268,    .34,     .9,    .92,    .56,    .59,    .39,    .33,   45.3,   68.1,0
3,       16,      00,   195004,   5.28,   63.4,    .81,    .81,    .83,    .81,     55,     92,    .32,     .4,    .79,   -.04,    .28,    .23,    .49,   52.4,   74.4,0
4,       16,      00,   195005,   6.29,   75.4,    .94,    .94,    .64,    .94,    331,      0,    .64,    .59,    .63,     .8,    .59,    .73,    .67,   65.4,   85.5,0
5,       16,      00,   195006,   7.21,   79.2,   1.64,   1.64,   2.38,   1.64,    437,      0,   1.06,   1.04,    .94,   1.17,    .95,      1,   1.08,   69.7,   88.8,0
6,       16,      00,   195007,   6.47,   80.1,   2.01,   2.01,   1.61,   2.01,    470,      0,    .55,   1.11,   1.11,   1.18,    .56,    .79,   1.31,   70.5,   89.7,0
7,       16,      00,   195008,   3.75,   80.5,    .02,   1.82,    .05,   1.77,    484,      0,   -.47,   -.02,    .68,    .78,    .93,    .76,   1.26,   69.8,   91.2,0
8,       16,      00,   195009,   3.22,   76.1,   -.13,    1.5,   -.39,    1.2,    356,      1,   -.24,   -.66,   -.29,    .61,    .91,    .73,   1.17,   65.9,   86.4,0
9,       16,      00,   195010,   2.24,   69.3,   -.44,   1.02,   -.97,    .21,    176,     30,   -.36,   -.57,   -.87,    .27,    .61,    .14,   1.21,   56.4,   82.1,0
10,       16,      00,   195011,   2.08,   54.8,   -.99,   -.99,  -1.78,   -.99,     13,    301,   -.97,  -1.05,  -1.06,   -.39,    .03,    .33,    .53,   41.4,   68.2,0
11,       16,      00,   195012,   4.43,   48.1,  -1.23,  -1.23,  -1.02,  -1.23,      4,    497,   -.32,  -1.06,  -1.19,  -1.14,   -.18,    .26,    .62,   37.3,   58.8,0
12,       16,      00,   195101,    6.8,   50.7,   -.66,   -.66,   1.33,    .25,     26,    441,    .79,    .33,   -.32,   -.85,   -.04,    .37,    .68,   38.8,   62.5,0
13,       16,      00,   195102,   2.76,     53,  -1.21,  -1.21,  -1.87,  -1.21,     18,    326,   -.95,    .04,    -.2,  -1.01,   -.53,   -.14,    .51,   41.9,     64,0
14,       16,      00,   195103,   6.26,   59.7,   -.75,   -.75,   1.02,   -.03,     50,    194,    .71,   -.18,    .35,   -.58,   -.74,   -.07,    .32,   48.7,   70.6,0
15,       16,      00,   195104,   2.94,   63.6,   -.99,   -.99,   -.94,   -.77,     62,     84,   -.76,   -.02,   -.55,   -.62,  -1.03,   -.38,    .05,   52.2,   75.1,0
16,       16,      00,   195105,   1.75,   73.5,  -1.83,  -1.83,  -2.83,  -1.83,    271,      1,  -1.51,  -1.53,   -.77,   -.72,  -1.22,   -.87,   -.03,   61.3,   85.6,0
17,       16,      00,   195106,   4.21,   80.5,  -1.99,  -1.99,  -1.04,  -1.99,    467,      0,    -.1,  -1.09,  -1.28,   -.63,  -1.13,  -1.17,   -.11,   69.9,   91.1,0
18,       16,      00,   195107,   5.57,   82.5,  -1.98,  -1.98,   -.58,  -1.98,    540,      0,    .05,   -.08,    -.9,   -.95,   -.95,  -1.23,    -.3,     72,   92.9,0
19,       16,      00,   195108,   1.87,   84.8,  -2.98,  -2.98,  -3.62,  -2.98,    612,      0,  -2.19,  -1.11,   -.93,  -1.16,  -1.07,   -1.4,   -.44,   72.5,   97.1,0
20,       16,      00,   195109,   6.74,   77.6,  -2.09,  -2.09,   1.75,  -1.31,    392,      0,    1.2,    .03,   -.07,  -1.04,    -.6,  -1.05,   -.17,     67,   88.2,0
21,       16,      00,   195110,    .85,   69.1,  -2.59,  -2.59,  -2.16,  -2.59,    177,     31,  -1.41,    .14,   -.78,  -1.28,  -1.25,  -1.21,   -.76,   56.4,   81.8,0
22,       16,      00,   195111,   2.66,   53.8,  -2.83,  -2.83,  -1.52,  -2.83,     11,    323,   -.63,  -1.38,   -.34,   -.99,  -1.21,  -1.15,   -.59,   41.4,   66.2,0
23,       16,      00,   195112,   5.87,   54.9,  -2.67,  -2.67,   -.37,  -2.67,     25,    305,    .42,   -.26,   -.98,   -.85,   -1.4,     -1,   -.49,   43.4,   66.4,0
24,       16,      00,   195201,   2.86,   58.3,  -3.23,  -3.23,  -2.51,  -3.23,     84,    260,   -.97,   -.47,    -.8,  -1.16,  -1.54,  -1.52,   -.82,   48.2,   68.4,0
25,       16,      00,   195202,   6.48,   55.8,  -2.49,  -2.49,   1.21,  -1.94,     28,    268,    .91,   -.03,    .12,    -.3,   -.81,  -1.08,   -.86,   45.9,   65.6,0
26,       16,      00,   195203,   3.51,   57.2,  -2.61,  -2.61,  -1.13,  -2.46,     29,    250,   -.59,    .16,   -.43,   -.98,   -.95,  -1.41,  -1.06,   45.2,   69.1,0
27,       16,      00,   195204,    6.8,   63.1,  -1.68,  -1.68,      2,   -.67,     55,     94,    .92,     .3,    .64,   -.15,   -.62,     -1,   -.89,   51.3,   74.9,0
28,       16,      00,   195205,   5.69,   73.1,  -1.32,  -1.32,    .54,    -.1,    269,      1,    .42,     .8,    .44,     .3,   -.08,   -.51,   -.89,   61.4,   84.9,0
29,       16,      00,   195206,   1.41,   81.9,  -2.07,  -2.07,  -2.66,   -1.8,    507,      0,  -1.84,   -.67,   -.01,   -.28,    -.8,    -.8,  -1.41,   70.4,   93.3,0
30,       16,      00,   195207,   6.39,   82.3,  -1.86,  -1.86,    .01,  -1.52,    531,      0,    .51,   -.82,   -.34,    .19,   -.32,   -.68,   -1.4,   71.7,   92.9,0
31,       16,      00,   195208,   2.75,   82.7,  -2.53,  -2.53,  -2.58,  -2.53,    542,      0,  -1.23,   -.44,   -1.3,   -.43,   -.34,   -.56,  -1.52,   71.7,   93.7,0
32,       16,      00,   195209,   2.21,   75.6,  -2.97,  -2.97,  -2.12,  -2.97,    322,      0,  -1.05,  -1.87,   -.96,   -.61,   -.71,  -1.07,  -1.68,   62.9,   88.2,0
33,       16,      00,   195210,    .03,   60.5,  -3.44,  -3.44,  -2.32,  -3.44,     39,    157,  -3.09,  -2.72,  -3.09,  -1.78,   -.93,  -1.16,   -1.8,   43.3,   77.6,0
34,       16,      00,   195211,   4.45,   55.2,  -3.19,  -3.19,   -.31,  -3.19,     15,    287,    .22,   -.99,  -1.31,  -1.97,  -1.16,   -.95,  -1.54,   43.3,   67.1,0
35,       16,      00,   195212,   5.59,   50.1,  -2.89,  -2.89,   -.09,  -2.87,      8,    440,    .29,    .23,   -.77,  -1.31,   -.99,  -1.01,   -1.6,   39.5,   60.6,0
36,       16,      00,   195301,   3.13,   53.2,  -3.22,  -3.22,  -1.88,  -3.22,     36,    383,   -.82,   -.47,   -.35,  -1.67,  -1.64,     -1,  -2.02,   41.4,     65,0
37,       16,      00,   195302,   6.65,   52.4,    .55,  -2.33,   1.66,   -1.6,     16,    339,    .99,    .11,    .16,   -.92,  -1.48,  -1.02,  -1.59,   42.3,   62.5,0
38,       16,      00,   195303,   5.09,   64.2,     .3,  -2.29,   -.58,  -1.74,    106,    117,     .2,    .76,     .1,   -.52,   -.97,   -.85,  -1.69,   53.9,   74.5,0
39,       16,      00,   195304,   7.82,   65.4,   1.11,  -1.22,    2.5,    .34,     91,     59,   1.29,    .98,   1.26,    .57,   -.61,   -.76,  -1.22,   53.6,     77,0
40,       16,      00,   195305,  12.52,   75.5,   2.94,   2.94,   5.85,   2.94,    340,      0,   2.39,    2.3,   1.98,   1.57,    .73,    .07,   -.19,   65.8,   85.1,0
41,       16,      00,   195306,    3.6,   83.3,   -.35,   2.29,  -1.04,    1.8,    539,      0,   -.39,   1.58,   1.78,    1.4,     .8,    .34,   -.26,   72.1,   94.5,0
42,       16,      00,   195307,   5.78,   81.3,    -.3,   2.07,    .04,   1.54,    503,      0,    .17,   -.22,   1.47,   1.69,   1.24,    .27,   -.24,   71.6,     91,0
43,       16,      00,   195308,    4.6,   80.9,    -.3,   1.83,   -.09,   1.21,    493,      0,    .05,    .04,   -.22,   1.44,   1.22,    .48,    .01,   70.8,   91.1,0
44,       16,      00,   195309,    .87,     77,  -1.36,  -1.36,  -3.26,  -1.36,    363,      0,  -3.09,   -1.5,   -.99,   1.07,    .87,    .36,   -.48,   63.3,   90.6,0
45,       16,      00,   195310,   1.37,   68.6,  -1.89,  -1.89,  -2.01,  -1.89,    158,     36,   -.92,  -2.72,  -1.87,    .19,    .84,    .51,   -.43,   54.2,     83,0
46,       16,      00,   195311,   4.75,   55.6,  -1.71,  -1.71,   -.07,  -1.67,     19,    270,    .34,   -.42,  -1.22,  -1.18,    .62,    .55,   -.29,   43.2,   67.9,0
47,       16,      00,   195312,    7.9,   48.4,   -.83,   -.83,   2.12,     .3,      5,    486,   1.19,    .95,    .28,   -.49,    .97,    .82,   -.06,   38.1,   58.7,0
48,       16,      00,   195401,   3.99,     52,   -1.1,   -1.1,  -1.08,   -.47,     34,    400,   -.38,    .52,    .46,   -.67,     .4,    .94,    .02,   41.1,     63,0
49,       16,      00,   195402,   1.31,   57.2,  -2.16,  -2.16,  -3.51,  -2.16,     36,    238,  -1.88,  -1.63,   -.43,  -1.26,  -1.25,     .3,   -.47,   43.6,   70.9,0
50,       16,      00,   195403,   2.29,   57.6,  -2.69,  -2.69,  -2.24,  -2.69,     30,    243,  -1.33,  -2.13,  -2.01,  -1.09,   -1.4,   -.06,    -.6,   46.2,   69.1,0
51,       16,      00,   195404,   3.15,   70.2,  -2.94,  -2.94,  -1.58,  -2.94,    183,     15,   -.65,  -1.34,  -2.01,   -.92,  -1.55,   -.66,   -.92,   59.1,   81.3,0
52,       16,      00,   195405,   7.04,   69.4,  -1.93,  -1.93,   2.12,   -.99,    167,     10,    .89,    .25,   -.36,   -.59,   -1.2,  -1.23,   -.75,   58.6,   80.3,0
53,       16,      00,   195406,   1.94,   80.8,  -2.44,  -2.44,  -2.12,  -2.31,    472,      0,   -1.4,   -.08,   -.41,  -1.62,   -1.1,  -1.37,   -.72,   69.5,   92.2,0
54,       16,      00,   195407,    5.7,   83.6,   -2.4,   -2.4,   -.65,   -2.4,    561,      0,    .13,   -.89,   -.03,  -1.35,   -.78,  -1.35,   -.76,   72.5,   94.7,0
55,       16,      00,   195408,   1.84,   83.6,  -3.33,  -3.33,  -3.52,  -3.33,    565,      0,  -2.23,  -1.07,  -1.69,  -1.29,  -1.28,  -1.61,   -.83,   71.4,   95.9,0
56,       16,      00,   195409,      3,     79,  -3.66,  -3.66,  -2.03,  -3.66,    429,      0,   -.38,  -1.97,  -1.22,  -1.13,     -2,  -1.44,   -.76,   65.7,   92.4,0
57,       16,      00,   195410,   3.75,   69.2,  -3.36,  -3.36,   -.23,  -3.36,    172,     32,    .31,   -.11,   -1.1,   -.84,  -1.66,  -1.16,   -.43,   57.3,     81,0
