STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2014-06,,,,11,8,,,,,,,,,,,1.34,,,,4.8,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2014-07,,,,11,9,,,,,,,,,,,1.49,,,,4.77,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2014-08,,,,11,9,,,,,,,,,,,2.55,,,,6.61,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2014-09,,,,15,10,,,,,,,,,,,2.18,,,,6.89,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2014-10,,,,3,2,,0,,,,,,,,0,0.95,,,,1.44,0,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2014-11,,,,6,5,,,,,,,,,,,1.35,,,,4.62,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2014-12,,,,8,5,,,,,,,,,,,1.12,,,,3.61,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-02,,,,11,5,,,,,,,,,,,1.7,,,,3.06,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-03,,,,13,8,,,,,,,,,,,0.7,,,,2.46,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-04,,,,11,7,,,,,,,,,,,2.27,,,,5.86,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-05,,,,5,2,,,,,,,,,,,0.79,,,,1.09,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-06,,,,12,8,,,,,,,,,,,2.05,,,,5.12,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-07,,,,16,11,,,,,,,,,,,2.34,,,,11.31,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-08,,,,19,15,,,,,,,,,,,2.42,,,,10.57,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-09,,,,15,7,,,,,,,,,,,2.15,,,,4.63,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-10,,,,10,6,,,,,,,,,,,1.63,,,,3.28,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-11,,,,9,5,,,,,,,,,,,1.52,,,,3.86,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2015-12,,,,10,6,,,,,,,,,,,1.51,,,,3.42,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-01,,,,9,7,,,,,,,,,,,1.06,,,,3.72,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-02,,,,7,4,,,,,,,,,,,1.13,,,,3.03,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-03,,,,9,3,,,,,,,,,,,2.02,,,,3.02,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-04,,,,10,3,,,,,,,,,,,1.55,,,,3.1,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-05,,,,9,5,,,,,,,,,,,4.93,,,,6.63,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-06,,,,8,6,,,,,,,,,,,2.71,,,,6.53,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-07,,,,9,6,,,,,,,,,,,0.86,,,,2.59,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-08,,,,16,11,,,,,,,,,,,1.6,,,,5.19,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-09,,,,8,4,,,,,,,,,,,3.62,,,,5.56,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-10,,,,5,2,,,,,,,,,,,10.7,,,,11.16,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-11,,,,2,0,,0,,,,,,,,0,0.06,,,,0.08,0,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2016-12,,,,13,7,,,,,,,,,,,2.14,,,,5.08,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-01,,,,10,4,,,,,,,,,,,2.6,,,,7.3,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-02,,,,6,4,,0,,,,,,,,0,0.58,,,,1.36,0,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-03,,,,4,2,,0,,,,,,,,0,0.3,,,,0.52,0,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-04,,,,4,3,,0,,,,,,,,0,1.15,,,,2.43,0,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-05,,,,7,7,,,,,,,,,,,1.73,,,,4.92,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-06,,,,12,7,,,,,,,,,,,1.31,,,,3.57,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-07,,,,20,13,,,,,,,,,,,1.92,,,,8.38,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-08,,,,23,13,,,,,,,,,,,3.3,,,,12.32,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-09,,,,6,6,,,,,,,,,,,3.4,,,,7.76,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-10,,,,7,6,,,,,,,,,,,0.77,,,,2.87,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-11,,,,6,4,,,,,,,,,,,0.65,,,,1.59,,,,,,,,
US1GACT0055,"SAVANNAH 1.7 W, GA US",32.0288,-81.1601,5.8,2017-12,,,,11,8,,,,,,,,,,,1.3,,,,3.31,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-04,,,,9,5,,,,,,,,,,,1.91,,,,5.21,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-05,,,,10,5,,,,,,,,,,,1.28,,,,2.81,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-06,,,,13,8,,,,,,,,,,,1.06,,,,4.4,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-07,,,,15,9,,,,,,,,,,,2.05,,,,4.94,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-08,,,,10,6,,,,,,,,,,,2.67,,,,8.33,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-10,,,,2,2,,,,,,,,,,,0.97,,,,1.72,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-11,,,,5,5,,,,,,,,,,,1.1,,,,3.84,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2014-12,,,,7,5,,,,,,,,,,,0.92,,,,2.72,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2015-01,,,,6,4,,,,,,,,,,,1,,,,3,,,,,,,,
US1GACT0056,"SAVANNAH 3.7 SSW, GA US",31.9755,-81.1557,6.7,2015-02,,,,7,5,,,,,,,,,,,1.61,,,,3.31,,,,,,,,
