STATION,NAME,LATITUDE,LONGITUDE,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-02,,,,8,6,0,0,,,,,,,0,0,1.72,,,,2.92,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-03,,,,7,6,0,0,,,,,,,0,0,4.48,,,,8.19,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-04,,,,5,4,0,0,,,,,,,0,0,0.7,,,,1.9,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-06,,,,10,7,0,0,,,,,,,0,0,1.6,,,,4.97,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-07,,,,16,11,0,0,,,,,,,0,0,1.85,,,,6.68,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-08,,,,15,13,0,0,,,,,,,0,0,2.62,,,,9.37,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-09,,,,15,14,0,0,,,,,,,0,0,1.84,,,,9.73,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-10,,,,12,10,0,0,,,,,,,0,0,2.18,,,,9.35,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-11,,,,5,4,0,0,,,,,,,0,0,1.02,,,,1.93,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2009-12,,,,11,10,0,0,,,,,,,0,0,5.74,,,,18.92,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-01,,,,7,7,0,0,,,,,,,0,0,1.03,,,,3,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-02,,,,10,8,0,0,,,,,,,0,0,3.37,,,,9.39,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-03,,,,7,6,0,0,,,,,,,0,0,1.56,,,,3.8,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-04,,,,4,3,0,0,,,,,,,0,0,3.45,,,,5.99,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-05,,,,8,7,0,0,,,,,,,0,0,3.49,,,,6.52,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-06,,,,14,10,0,0,,,,,,,0,0,1.32,,,,6.78,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-07,,,,9,7,0,0,,,,,,,0,0,1.55,,,,5.56,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-08,,,,13,12,0,0,,,,,,,0,0,2.38,,,,10.26,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-09,,,,8,8,0,0,,,,,,,0,0,2.34,,,,5.41,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-10,,,,5,4,0,0,,,,,,,0,0,0.22,,,,0.63,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-11,,,,8,8,0,0,,,,,,,0,0,1.8,,,,3.72,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2010-12,,,,5,5,0,0,,,,,,,0,0,1.11,,,,1.85,0,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-01,,,,7,7,,,,,,,,,,,0.86,,,,3.7,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-02,,,,6,6,,,,,,,,,,,0.66,,,,3.21,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-03,,,,5,5,,,,,,,,,,,4.18,,,,8.19,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-05,,,,3,2,,,,,,,,,,,0.75,,,,1.15,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-06,,,,11,8,,,,,,,,,,,2.31,,,,5.85,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-08,,,,5,4,,,,,,,,,,,0.65,,,,2.03,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-09,,,,10,8,,,,,,,,,,,5.84,,,,12.45,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-10,,,,2,1,,,,,,,,,,,0.25,,,,0.27,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-11,,,,5,2,,,,,,,,,,,1.27,,,,1.79,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2011-12,,,,6,5,,,,,,,,,,,0.45,,,,1.57,,,,,,,,
USC00166666,"NEW ORLEANS ALGIERS, LA US",29.9508,-90.0511,2012-01,,,,5,4,,,,,,,,,,,1.51,,,,2.33,,,,,,,,
