STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,HDSD,HTDD,MN01,MX01,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WDMV,WSF2,WSF5
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-04,,,,7,5,,,,,,,,,,,1.38,,,,,,,3.76,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-05,,,,6,6,,,,,,,,,,,1.54,,,,,,,3.57,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-06,,,,17,13,,,,,,,,,,,1.71,,,,,,,10.41,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-07,,,,21,15,,,,,,,,,,,4.29,,,,,,,14.23,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-08,,,,11,9,,,,,,,,,,,3.43,,,,,,,7.63,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-09,,,,18,11,,,,,,,,,,,2.1,,,,,,,8.89,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-10,,,,13,9,,,,,,,,,,,1.66,,,,,,,4.87,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-11,,,,9,6,,,,,,,,,,,1.69,,,,,,,2.74,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2014-12,,,,6,3,,,,,,,,,,,0.52,,,,,,,1.28,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-01,,,,7,2,,,,,,,,,,,0.36,,,,,,,0.96,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-02,,,,4,3,,,,,,,,,,,0.8,,,,,,,1.38,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-03,,,,6,3,,,,,,,,,,,5.15,,,,,,,6.17,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-04,,,,7,6,,,,,,,,,,,1.88,,,,,,,5.15,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-05,,,,7,5,,,,,,,,,,,0.41,,,,,,,1.25,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-06,,,,13,9,,,,,,,,,,,1.68,,,,,,,4.94,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-07,,,,10,9,,,,,,,,,,,0.83,,,,,,,3.52,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-08,,,,14,11,,,,,,,,,,,2.17,,,,,,,6.17,,,,,,,,,,,
US1FLMD0044,"MIAMI 6.4 NNE, FL US",25.8755,-80.1928,3,2015-10,,,,16,10,,,,,,,,,,,0.91,,,,,,,4.71,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2009-11,,,,6,3,,,,,,,,,,,1.53,,,,,,,2.13,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2010-01,,,,2,1,,0,,,,,,,,0,0.15,,,,,,,0.2,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2010-05,,,,5,2,,0,,,,,,,,0,2.56,,,,,,,2.71,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2010-10,,,,6,4,,,,,,,,,,,0.35,,,,,,,1.22,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2010-12,,,,4,1,,0,,,,,,,,0,0.83,,,,,,,0.92,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2011-02,,,,3,1,,0,,,,,,,,0,0.11,,,,,,,0.16,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2011-03,,,,4,4,,0,,,,,,,,0,1.28,,,,,,,2.8,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2011-04,,,,4,4,,,,,,,,,,,0.89,,,,,,,1.74,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2011-05,,,,4,3,,,,,,,,,,,2.62,,,,,,,3.18,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2011-06,,,,5,2,,,,,,,,,,,0.54,,,,,,,1.02,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2011-09,,,,9,6,,,,,,,,,,,0.43,,,,,,,1.72,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2012-01,,,,1,0,,,,,,,,,,,0.04,,,,,,,0.04,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2012-05,,,,11,9,,,,,,,,,,,1.87,,,,,,,7.17,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2012-11,,,,4,3,,,,,,,,,,,0.75,,,,,,,1.01,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2013-01,,,,3,1,,,,,,,,,,,0.11,,,,,,,0.16,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2013-02,,,,4,2,,0,,,,,,,,0,1.32,,,,,,,2.49,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2013-03,,,,2,2,,,,,,,,,,,0.54,,,,,,,0.67,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2013-04,,,,7,6,,,,,,,,,,,2.51,,,,,,,7.23,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2013-05,,,,11,9,,,,,,,,,,,3.24,,,,,,,9.98,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2014-02,,,,4,2,,0,,,,,,,,0,0.74,,,,,,,1,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2014-03,,,,5,3,,0,,,,,,,,0,1.06,,,,,,,1.46,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2014-04,,,,4,2,,,,,,,,,,,0.12,,,,,,,0.29,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2014-06,,,,10,6,,,,,,,,,,,1.52,,,,,,,3.29,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2014-08,,,,10,4,,,,,,,,,,,1.11,,,,,,,2.18,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2014-10,,,,13,12,,,,,,,,,,,1.43,,,,,,,5.15,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2014-11,,,,7,3,,,,,,,,,,,1.37,,,,,,,2.11,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2015-02,,,,6,2,,,,,,,,,,,0.38,,,,,,,0.83,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2015-03,,,,3,2,,,,,,,,,,,2.21,,,,,,,2.47,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2015-04,,,,7,5,,,,,,,,,,,1.71,,,,,,,5.35,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2015-05,,,,8,3,,,,,,,,,,,0.64,,,,,,,1.12,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2015-07,,,,7,2,,,,,,,,,,,1.04,,,,,,,1.31,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2016-03,,,,2,1,,0,,,,,,,,0,0.18,,,,,,,0.2,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2016-04,,,,2,2,,0,,,,,,,,0,0.33,,,,,,,0.43,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2016-05,,,,6,5,,,,,,,,,,,2.75,,,,,,,5.79,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2016-06,,,,11,10,,,,,,,,,,,1.07,,,,,,,4.56,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2016-12,,,,5,4,,,,,,,,,,,0.47,,,,,,,1.03,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2017-01,,,,2,2,,,,,,,,,,,0.69,,,,,,,0.98,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2017-02,,,,2,1,,0,,,,,,,,0,1.05,,,,,,,1.06,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2017-03,,,,4,3,,,,,,,,,,,0.76,,,,,,,1.45,,,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2017-04,,,,3,3,,0,,,,,,,,0,0.87,,,,,,,1.14,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2017-05,,,,5,2,,0,,,,,,,,0,0.63,,,,,,,1.09,,0,,,,,,,,,
US1FLMD0023,"MIAMI 4.1 SE, FL US",25.7349,-80.1636,1.2,2017-12,,,,2,2,,0,,,,,,,,0,0.55,,,,,,,0.72,,0,,,,,,,,,
US1FLMD0067,"PALMETTO BAY 0.6 WNW, FL US",25.6257,-80.3331,2.7,2017-04,,,,6,3,,,,,,,,,,,4.37,,,,,,,6.33,,,,,,,,,,,
US1FLMD0067,"PALMETTO BAY 0.6 WNW, FL US",25.6257,-80.3331,2.7,2017-05,,,,8,5,,,,,,,,,,,0.46,,,,,,,1.52,,,,,,,,,,,
US1FLMD0067,"PALMETTO BAY 0.6 WNW, FL US",25.6257,-80.3331,2.7,2017-06,,,,17,13,,,,,,,,,,,2.74,,,,,,,10.98,,,,,,,,,,,
US1FLMD0067,"PALMETTO BAY 0.6 WNW, FL US",25.6257,-80.3331,2.7,2017-07,,,,14,9,,,,,,,,,,,2.2,,,,,,,6.13,,,,,,,,,,,
US1FLMD0067,"PALMETTO BAY 0.6 WNW, FL US",25.6257,-80.3331,2.7,2017-10,,,,16,11,,,,,,,,,,,2.77,,,,,,,9.34,,,,,,,,,,,
US1FLMD0067,"PALMETTO BAY 0.6 WNW, FL US",25.6257,-80.3331,2.7,2017-12,,,,3,1,,0,,,,,,,,0,1.02,,,,,,,1.05,,0,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2014-06,,,,17,11,,,,,,,,,,,1.58,,,,,,,8.76,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2014-08,,,,11,9,,,,,,,,,,,1.38,,,,,,,4.73,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2014-09,,,,14,12,,,,,,,,,,,1.94,,,,,,,5.34,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2014-10,,,,15,13,,,,,,,,,,,1.25,,,,,,,6.63,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2014-11,,,,10,4,,,,,,,,,,,1.75,,,,,,,2.76,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2015-02,,,,5,3,,,,,,,,,,,0.57,,,,,,,1.41,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2015-06,,,,10,9,,,,,,,,,,,1.2,,,,,,,3.48,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2015-07,,,,13,11,,,,,,,,,,,2.48,,,,,,,7.12,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2015-08,,,,14,11,,,,,,,,,,,2.6,,,,,,,8.46,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2015-09,,,,21,18,,,,,,,,,,,2.7,,,,,,,15.96,,,,,,,,,,,
US1FLMD0042,"SOUTH MIAMI 0.9 SSE, FL US",25.6957,-80.2893,2.4,2015-10,,,,15,11,,,,,,,,,,,2.52,,,,,,,7.33,,,,,,,,,,,
US1FLMD0064,"NORTH MIAMI 1.0 SSW, FL US",25.8872,-80.1767,1.5,2016-08,,,,17,12,,,,,,,,,,,2.5,,,,,,,7.14,,,,,,,,,,,
US1FLMD0064,"NORTH MIAMI 1.0 SSW, FL US",25.8872,-80.1767,1.5,2016-09,,,,17,9,,,,,,,,,,,0.89,,,,,,,4.31,,,,,,,,,,,
US1FLMD0064,"NORTH MIAMI 1.0 SSW, FL US",25.8872,-80.1767,1.5,2016-11,,,,5,3,,,,,,,,,,,1.04,,,,,,,1.72,,,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-01,,,,4,0,0,0,,,,,,,0,0,0.05,,,,,,,0.11,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-02,,,,2,1,0,0,,,,,,,0,0,0.34,,,,,,,0.4,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-03,,,,7,6,0,0,,,,,,,0,0,2.33,,,,,,,6.03,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-04,,,,7,3,0,0,,,,,,,0,0,0.61,,,,,,,1.13,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-05,,,,18,15,0,0,,,,,,,0,0,2.93,,,,,,,10.31,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-06,,,,21,15,0,0,,,,,,,0,0,2.58,,,,,,,12.2,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-07,,,,23,16,0,0,,,,,,,0,0,1.09,,,,,,,7.56,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-08,,,,16,11,0,0,,,,,,,0,0,2.17,,,,,,,7.38,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-09,,,,20,14,0,0,,,,,,,0,0,1.12,,,,,,,7.26,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-10,,,,8,5,0,0,,,,,,,0,0,1.41,,,,,,,2.27,,0,,,,,,,,,
USC00081800,"COOPER CITY, FL US",26.04722,-80.28389,3.4,2009-11,,,,7,5,0,0,,,,,,,0,0,2.51,,,,,,,3.56,,0,,,,,,,,,
