#      
#   DShield.org Recommended Block List 
#    (c) 2018 DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: http://feeds.dshield.org/block.txt
#     PGP Sign.: http://feeds.dshield.org/block.txt.asc
#
#   comments: info@dshield.org
#    updated: Sun Nov 18 00:00:05 2018 UTC
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
Start	End	Netmask	Attacks	Name	Country	email
176.119.4.0	176.119.4.255	24	9694	VSERVER-AS,	UA	abuse@multi-dc.com
176.119.7.0	176.119.7.255	24	9166	VSERVER-AS,	UA	abuse@multi-dc.com
78.128.112.0	78.128.112.255	24	5533	AS_4MEDIA, BG		
194.28.115.0	194.28.115.255	24	5026	HOSTMASTER-AS,	MD	abuse@ix-host.ru
77.72.85.0	77.72.85.255	24	3694	UPUKS-AS, GB		
196.52.43.0	196.52.43.255	24	3150	LEASEWEB-NL-AMS-01 Netherlands,	NL	abuse@nl.leaseweb.com
198.108.67.0	198.108.67.255	24	2857	MERIT-AS-14 - Merit Network Inc.,	US	abuse@merit.edu
85.14.245.0	85.14.245.255	24	2476	MYLOC-AS,	DE	abuse@myloc.de
122.228.19.0	122.228.19.255	24	2455	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
185.153.198.0	185.153.198.255	24	2363	RMINJINERING,	RU	admin@rm-injinering.ru
194.55.142.0	194.55.142.255	24	2267	FCLOUD-AS, DE		
5.188.87.0	5.188.87.255	24	2161	GLOBALLAYER,	NL	abuse@global-layer.com
185.208.208.0	185.208.208.255	24	2078	HOSTIO Hostio Solutions B.V., NL		
109.248.9.0	109.248.9.255	24	1989	SOLAR-AS,	GB	abuse@solarnet.biz
5.188.206.0	5.188.206.255	24	1949	KREZ999AS, BG		
185.211.245.0	185.211.245.255	24	1820	TEAM-HOST AS, RU		
185.208.209.0	185.208.209.255	24	1807	HOSTIO Hostio Solutions B.V., NL		
125.64.94.0	125.64.94.255	24	1743	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
92.53.90.0	92.53.90.255	24	1727	SELECTEL,	RU	abuse@selectel.ru
5.8.54.0	5.8.54.255	24	1695	PIN-AS,	RU	abuse@pinspb.ru
